"","date","industry","location","monthly_amount"
"443",2013-06-01,"1","2",180296.954317731
"444",2013-07-01,"1","2",182749.88105871
"445",2013-08-01,"1","2",179351.248494609
"446",2013-09-01,"1","2",171949.216389687
"447",2013-10-01,"1","2",187360.570573407
"448",2013-11-01,"1","2",181307.150624926
"449",2013-12-01,"1","2",175825.578420224
"450",2014-01-01,"1","2",172011.411944265
"451",2014-02-01,"1","2",171789.721030552
"452",2014-03-01,"1","2",169098.707688904
"453",2014-04-01,"1","2",166953.844550671
"454",2014-05-01,"1","2",178702.544956519
"455",2014-06-01,"1","2",174202.646624088
"456",2014-07-01,"1","2",186760.764132312
"457",2014-08-01,"1","2",192561.076085976
"458",2014-09-01,"1","2",196558.733501879
"459",2014-10-01,"1","2",204256.459765952
"460",2014-11-01,"1","2",192136.613749595
"461",2014-12-01,"1","2",200150.275480526
"462",2015-01-01,"1","2",200649.024253
"463",2015-02-01,"1","2",203686.145810222
"464",2015-03-01,"1","2",203929.204666305
"465",2015-04-01,"1","2",196301.622114903
"466",2015-05-01,"1","2",203854.463412571
"467",2015-06-01,"1","2",203592.802696636
"468",2015-07-01,"1","2",205815.774905982
"469",2015-08-01,"1","2",201225.199423836
"470",2015-09-01,"1","2",201504.485299467
"471",2015-10-01,"1","2",196965.860610837
"472",2015-11-01,"1","2",200861.185821693
"473",2015-12-01,"1","2",189111.185030714
"474",2016-01-01,"1","2",186426.454784204
"475",2016-02-01,"1","2",203012.444867413
"476",2016-03-01,"1","2",199875.179478687
"477",2016-04-01,"1","2",198130.683251331
"478",2016-05-01,"1","2",207095.261460687
"479",2016-06-01,"1","2",200774.45746237
"480",2016-07-01,"1","2",197556.748180222
"481",2016-08-01,"1","2",213095.368057185
"482",2016-09-01,"1","2",198875.343678309
"483",2016-10-01,"1","2",199134.259287455
"484",2016-11-01,"1","2",213966.273951922
"485",2013-01-01,"2","2",310717.4805018
"486",2013-02-01,"2","2",297589.055664706
"487",2013-03-01,"2","2",320211.640481
"488",2013-04-01,"2","2",323719.215393061
"489",2013-05-01,"2","2",314259.922523704
"490",2013-06-01,"2","2",314160.102184
"491",2013-07-01,"2","2",301293.227961864
"492",2013-08-01,"2","2",335017.858419167
"493",2013-09-01,"2","2",312796.207825738
"494",2013-10-01,"2","2",331356.800581818
"495",2013-11-01,"2","2",324779.20205625
"496",2013-12-01,"2","2",367147.443886111
"497",2014-01-01,"2","2",304360.761857639
"498",2014-02-01,"2","2",302563.9069552
"499",2014-03-01,"2","2",340207.817922927
"500",2014-04-01,"2","2",329220.012445181
"501",2014-05-01,"2","2",340580.867594157
"502",2014-06-01,"2","2",331187.320473034
"503",2014-07-01,"2","2",345024.761806559
"504",2014-08-01,"2","2",360786.708858396
"505",2014-09-01,"2","2",370202.226895536
"506",2014-10-01,"2","2",409834.262347288
"507",2014-11-01,"2","2",433720.887738099
"508",2014-12-01,"2","2",466507.298044921
"509",2015-01-01,"2","2",390641.616558438
"510",2015-02-01,"2","2",370724.350685333
"511",2015-03-01,"2","2",426060.301764118
"512",2015-04-01,"2","2",393993.347444366
"513",2015-05-01,"2","2",417164.813552365
"514",2015-06-01,"2","2",395289.470833311
"515",2015-07-01,"2","2",400259.210387962
"516",2015-08-01,"2","2",411248.921222405
"517",2015-09-01,"2","2",401977.839203841
"518",2015-10-01,"2","2",444858.295366374
"519",2015-11-01,"2","2",432557.255243503
"520",2015-12-01,"2","2",471717.284663351
"521",2016-01-01,"2","2",416967.364839524
"522",2016-02-01,"2","2",422600.498814021
"523",2016-03-01,"2","2",444783.768307539
"524",2016-04-01,"2","2",452789.694924072
"525",2016-05-01,"2","2",429967.66322201
"526",2016-06-01,"2","2",414632.144475025
"527",2016-07-01,"2","2",446905.894797277
"528",2016-08-01,"2","2",437150.116745148
"529",2016-09-01,"2","2",450282.088598077
"530",2016-10-01,"2","2",451818.518704338
"531",2016-11-01,"2","2",450687.512940482
"532",2013-01-01,"3","2",391439.167405625
"533",2013-02-01,"3","2",385915.635255882
"534",2013-03-01,"3","2",430789.392435882
"535",2013-04-01,"3","2",408479.966607647
"536",2013-05-01,"3","2",421550.477877647
"537",2013-06-01,"3","2",538096.122236875
