"","industry","location","avg","c_tss","c_rss","c_mse","c_ess","c_rsq","c_cor","rsq","a_rsq","fstat","pval","rse","dec_fit","dec_lwr","dec_upr"
"53","8","2",535639.625784116,1058368327432.18,341429534865.572,7264458188.62919,716938792566.602,0.677400082734946,0.823043184003699,0.677400082734947,0.646676281090656,22.0480554645432,7.32011739233793e-10,90162.4902032796,779093.153700947,579162.78309332,979023.524308573
"54","8","3",774174.379277004,1367603336800.33,1002285873895.23,21325231359.4729,365317462905.101,0.26712238342428,0.516838836993001,0.267122383424279,0.197324515178972,3.82708512651803,0.00967907427454547,154479.608293321,724090.559246382,381540.511352063,1066640.6071407
"55","8","4",371778.057049922,112298267180.06,85285451620.1242,1814584077.02392,27012815559.9362,0.240545257182139,0.49045413361714,0.240545257182139,0.168216234056628,3.32570864070329,0.0187240309079866,45062.2457380382,425030.898840643,325107.843582235,524953.95409905
"56","8","5",358871.722314934,2251136180231.64,1426787733446.93,30357185818.0198,824348446784.719,0.366192171768077,0.6051381427146,0.366192171768076,0.305829521460274,6.06653567894687,0.000602741553357113,184312.60540354,170251.541477497,-238451.539181721,578954.622136716
"57","8","6",549324.240716483,2307196707180.36,914341390661.004,19454072141.7235,1392855316519.35,0.603700287966158,0.776981523568069,0.603700287966158,0.565957458248649,15.9950987375518,4.94893965045884e-08,147546.715012488,930478.99264514,603302.254870084,1257655.7304202
"58","8","7",677391.49728628,2685262043691.43,1522491276575.56,32393431416.5013,1162770767115.87,0.433019477502243,0.658042154806394,0.433019477502242,0.379021332502456,8.01915468584995,6.74479585153655e-05,190393.782197366,357821.318743752,-64366.4374981719,780009.074985677
"59","8","8",425969.727555259,1325683956292.91,764268098241.194,16261023366.8339,561415858051.721,0.423491478030435,0.650762228490894,0.423491478030434,0.368585904509523,7.7130872309192,9.38128786080096e-05,134895.735595804,600275.573058018,301151.687390578,899399.458725459
"60","8","9",403230.216322312,325807252211.592,173785520688.179,3697564269.96126,152021731523.412,0.466600207611963,0.68308140628476,0.466600207611964,0.415800227384532,9.18504703196716,2.00206105852292e-05,64325.3487559586,566927.822780353,424289.894443988,709565.751116718
"61","8","10",415551.502750124,1630519224327.45,461541429859.247,9820030422.53716,1168977794468.21,0.716935916502536,0.846720683875465,0.716935916502535,0.68997743235992,26.594073788044,4.95687680535844e-11,104828.820766597,741513.040802978,509060.887596323,973965.194009632
"62","9","1",335559.936866243,2040239282799.54,396959681908.434,8445950678.90286,1643279600891.11,0.805434742260359,0.897460161934979,0.805434742260358,0.786904717713726,43.4664692555267,2.1065262682993e-14,97218.4190255111,697061.76950868,481485.264225434,912638.274791927
"63","9","2",822719.285358933,2500050049740.59,949807348023.465,20208666979.2227,1550242701717.12,0.620084666656166,0.787454548946265,0.620084666656165,0.583902253956752,17.137736828319,2.09038532857045e-08,150381.051556456,1163200.23111624,829738.507707083,1496661.95452539
"64","9","3",696800.375330791,1896033778555.96,1222662142197.45,26014088131.8607,673371636358.505,0.355147489445758,0.595942521931235,0.355147489445759,0.29373296463107,5.78279308546913,0.000843220138831042,170619.46953866,1013998.00745048,635658.703591058,1392337.3113099
"65","9","4",931222.291757411,20861341356227.3,12289889112357.5,261487002390.586,8571452243869.77,0.410877330345353,0.640997137548486,0.410877330345353,0.354770409425862,7.323113149177,0.000143838662515802,540940.299328016,-14176.1255889535,-1213681.53274237,1185329.28156446
"66","9","5",673272.66815,4432325705139.94,218604560734.86,16815735441.1431,4213721144405.08,0.950679490796141,0.975027943597587,0.95067949079614,0.92601923619421,38.5510817362662,2.84182474008409e-05,165304.476926239,1271386.40049634,701089.14038463,1841683.66060805
"67","9","6",1165512.27177037,6669928219859.3,2689939243986.11,99627379406.8929,3979988975873.18,0.596706417922611,0.772467745554863,0.596706417922612,0.52338031209036,8.1377077256454,0.000347194444505887,349671.225061103,1832436.73536605,989121.801885726,2675751.66884638
"68","9","7",905624.213266,3542206293768.47,2502653720376.25,53247951497.3671,1039552573392.22,0.293476011044591,0.541734262387558,0.293476011044591,0.226188012096456,4.36149113708676,0.00486138346975463,244104.472188225,1226720.93546104,685432.673773307,1768009.19714878
"69","9","9",813909.138921053,2535215775512.89,1170632332931.92,30806114024.5243,1364583442580.96,0.538251400831904,0.733656187073965,0.538251400831905,0.482281873660015,9.61686524845672,2.86747465293223e-05,188344.649667951,1235742.34208007,805536.699127494,1665947.98503264
"70","9","10",561096.12451,765208533543.094,580141201599.353,38676080106.6236,185067331943.741,0.241852153800267,0.491784662022176,0.241852153800266,-0.0614069846796272,0.797509862398759,0.55337114344813,240861.205178284,941611.285619772,197005.31848519,1686217.25275435
"71","10","1",374094.8963925,772024476625.824,111228521894.157,7944894421.01119,660795954731.669,0.855926171693046,0.925162781186664,0.855926171693044,0.791893359112175,13.3669932210469,0.000793458080912609,111169.801002369,287960.758168603,-61965.3659223879,637886.882259594
"72","10","2",251365.344171915,148343529921.15,133869893132.078,2848295598.55485,14473636789.0727,0.0975683725253536,0.312359364395167,0.0975683725253532,0.0116225032420534,1.13523050425778,0.35306018355009,56456.8721052328,255327.093690572,130137.080217142,380517.107164002
"73","10","3",84596.8474491667,668268513.614099,80108767.1684672,6675730.59737227,588159746.445639,0.880124881635946,0.938149711738983,0.880124881635936,0.811624813999328,12.8485257314634,0.00243365133404873,3382.91436419772,-16436.6301354631,-56031.7129503725,23158.4526794464
"74","10","4",110740.404740345,104637004641.385,34528115645.8681,1190624677.44373,70108888995.5169,0.670020030062942,0.8185475124041,0.670020030062941,0.615023368406764,12.1829218335417,1.50671433855565e-05,37929.8231638971,304252.360122393,201480.615480108,407024.104764678
"75","10","5",135103.535106613,9858860454.06633,7619018087.00834,162106767.808688,2239842367.05801,0.227190797302966,0.476645358000017,0.227190797302964,0.153589920855627,3.08679472676558,0.0257495455198921,13468.6744911226,140128.847789454,110262.801759309,169994.893819599
"76","10","7",318876.752073723,593945163154.245,529359123878.237,11262960082.5157,64586039276.0085,0.108740744571458,0.32975861561369,0.108740744571458,0.0238589107211202,1.28108382723196,0.292704561082884,112266.596384533,239127.767732746,-9817.24444927019,488072.779914763
"77","10","8",21155281.4067561,506129370515474,234727443593820,4994200927528.09,271401926921653,0.536230344912092,0.732277505398121,0.536230344912094,0.492061806332294,12.1405498609213,1.20467260551518e-06,2364053.43784689,26655471.1382442,21413312.4656151,31897629.8108734
"78","10","9",94352.5409566667,1912747752.1219,1628160161.08086,77531436.2419457,284587591.041034,0.148784695067778,0.38572619183532,0.148784695067777,-0.0640191311652782,0.699163627372157,0.603690780272049,10087.6166693404,70455.5576210711,29811.6485490893,111099.466693053
"79","10","10",88015.21312,100797732.19579,34169165.7292135,8542291.43230337,66628566.4665761,0.661012554698716,0.813026785966317,0.661012554698708,-0.016962335903876,0.974980878880632,0.582226283588513,5845.4397378824,286089.573560192,-2163611.33715656,2735790.48427695
"80","1","2",191371.451254009,7398733329.88719,3048956441.94259,64871413.6583529,4349776887.94461,0.587908320789679,0.766751798686953,0.587908320789679,0.54866149419822,14.9797670754256,1.09704466129857e-07,8520.22306038011,206088.698497892,187195.57176325,224981.825232533
"81","1","3",174482.464396687,16837440432.4157,3910949485.21444,83211691.1747752,12926490947.2013,0.76772303956099,0.876198059551029,0.767723039560988,0.745601424281082,34.7046555980181,8.31166392813045e-13,9649.75879937203,196058.54096816,174660.730762575,217456.351173744
"82","1","4",234586.407838016,15317892093.371,7258677569.54061,154439948.288098,8059214523.83039,0.52613078057379,0.725348730317902,0.526130780573792,0.481000378723676,11.6580123155374,1.8611027717755e-06,13146.317218812,198098.588738013,168947.352256449,227249.825219577
"83","1","5",178705.842874893,5410212976.83121,3360521293.17912,71500453.0463642,2049691683.6521,0.378856006672885,0.615512799763648,0.378856006672886,0.319699435879827,6.40429290599348,0.000406584683047064,8944.96572058048,160549.452610417,140714.482352208,180384.422868627
"84","1","6",127241.061084707,2768381746.06898,2401250492.64588,51090436.0137422,367131253.423093,0.132615833760791,0.364164569612136,0.132615833760792,0.0500078179284863,1.60536277774789,0.190765322004349,7561.25854453365,121375.481464491,104608.80588066,138142.157048322
"85","1","7",193741.091603289,18906923578.909,12318853673.8,262103269.65532,6588069905.10891,0.348447481559508,0.590294402446364,0.348447481559509,0.286394860755653,5.61535479155547,0.00103020919329762,17126.1799550391,163783.179954485,125806.8164159,201759.54349307
"86","1","8",134782.858729141,2815080269.65654,2615389838.08007,55646592.299576,199690431.576464,0.0709359636131541,0.266338062644367,0.0709359636131546,-0.0175463255665451,0.801696749380998,0.531004059586974,7891.2094523561,135040.429366746,117542.105764604,152538.752968889
"87","1","9",184488.552229097,10828965859.2846,4894672012.02093,104141957.702573,5934293847.26365,0.548001898276897,0.740271503083089,0.548001898276895,0.504954460017552,12.7301860560298,7.16239198286332e-07,10795.3605687824,190531.856510137,166593.737293448,214469.975726826
"88","1","10",224216.539702004,23728489658.8298,5971147018.65079,127045681.247889,17757342640.1791,0.7483553692416,0.865075354660852,0.748355369241599,0.724389213931275,31.2255077859413,4.3617366642238e-12,11923.5132033614,228575.315524881,202135.57979533,255015.051254432
